ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 01,"",,France?,"","s. IX/X, 890-910",890-910,http://vocab.getty.edu/aat/300404501-http://vocab.getty.edu/aat/300404502,false,,"","","Bible, O.T.","","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 212 x 142 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 02,"",,Germany?,"","s. X, 900-999",900-999,http://vocab.getty.edu/aat/300404502,false,,"","",Sacramentary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 180 x 138 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 19,"",,?,"",Undetermined,"",,false,,"","","Decretals of Gregory IX, commentary on","","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: ff. 1-2v; 162 x 152 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 35,"",,France?,"","s. XIV, 1300-1399",1300-1399,http://vocab.getty.edu/aat/300404506,false,,"","",Meteorologica,"","",,"",,"","",,"","",,"","",,Latin,"","Bequeathed to Conception Abbey by Dr. Charles D. Humberd of Barnard, Missouri.","",,"",parchment,Extent: ff. 1-2v; 270 x 215 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 12,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Missal,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: ff. 1-2v; 337 x 223 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 13,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 285 x 195 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 14,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 288 x 195 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 15,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 285 x 188 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 16,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 291 x 181 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
,,,digital-scriptorium,Q30257935,Conception Abbey and Seminary,CA 17,"",,Switzerland?,"","s. XII, 1100-1199",1100-1199,http://vocab.getty.edu/aat/300404504,false,,"","",Breviary,"","",,"",,"","",,"","",,"","",,Latin,"",Brought from the library of Engelberg Abbey in Switzerland to Conception Abbey sometime before 1900.,"",,"",parchment,Extent: f. 1r-v; 290 x 170 mm.,We thank Michael W. Heil for his work in making this description available.,2022-02-08T17:47:33-05:00,2021-10-01
