item,itemLabel,description,DSID,collection,identifiers
http://www.wikidata.org/entity/Q131767450,"New York, New York, General Theological Seminary, 10 Western","manuscript containing Book of Hours, use of Rome",DS309,General Theological Seminary,10 Western
http://www.wikidata.org/entity/Q131767442,"New York, New York, General Theological Seminary, 11 Western","manuscript containing Book of Hours, Sarum use",DS310,General Theological Seminary,11 Western
http://www.wikidata.org/entity/Q131767452,"New York, New York, General Theological Seminary, 04.C Western Documents",manuscript containing Clemens PP. XII.; Concession of nobility,DS311,General Theological Seminary,04.C Western Documents
http://www.wikidata.org/entity/Q131767443,"New York, New York, General Theological Seminary, 12 Western","manuscript containing Book of Hours, Sarum use",DS312,General Theological Seminary,12 Western
http://www.wikidata.org/entity/Q131767453,"New York, New York, General Theological Seminary, 02 Western",manuscript containing Gradual and Antiphonary,DS313,General Theological Seminary,02 Western
http://www.wikidata.org/entity/Q131767454,"New York, New York, General Theological Seminary, 04.A Western Documents",manuscript containing Appointment,DS314,General Theological Seminary,04.A Western Documents
http://www.wikidata.org/entity/Q131767455,"New York, New York, General Theological Seminary, 04.E Western Documents",manuscript containing Gift,DS315,General Theological Seminary,04.E Western Documents
http://www.wikidata.org/entity/Q131767456,"New York, New York, General Theological Seminary, 17 Western",manuscript containing Processional,DS316,General Theological Seminary,17 Western
http://www.wikidata.org/entity/Q131767457,"New York, New York, General Theological Seminary, 15 Western",manuscript containing Prefaces to martyrologies; Martyrology; De diversis prologis martilogii per quos patet quantam diligentiam sancti et antiqui ad conpilationem huius opusculi habeant.; Kalendis Ianuarii luna prout quota erit require literam,DS317,General Theological Seminary,15 Western
http://www.wikidata.org/entity/Q131767458,"New York, New York, General Theological Seminary, 04.D Western Documents",manuscript containing Gift of a prebend,DS318,General Theological Seminary,04.D Western Documents
http://www.wikidata.org/entity/Q131767459,"New York, New York, General Theological Seminary, 04.B Western Documents",manuscript containing Designation of factor,DS319,General Theological Seminary,04.B Western Documents
http://www.wikidata.org/entity/Q131767460,"New York, New York, General Theological Seminary, 13 Western","manuscript containing Book of Hours, use of Paris",DS320,General Theological Seminary,13 Western
http://www.wikidata.org/entity/Q131767444,"New York, New York, General Theological Seminary, 14 Western",manuscript containing Missal,DS321,General Theological Seminary,14 Western
http://www.wikidata.org/entity/Q131767445,"New York, New York, General Theological Seminary, 16 Western",manuscript containing Missal,DS322,General Theological Seminary,16 Western
http://www.wikidata.org/entity/Q131767446,"New York, New York, General Theological Seminary, 18 Western",manuscript containing Vesperale,DS323,General Theological Seminary,18 Western
http://www.wikidata.org/entity/Q131767461,"New York, New York, General Theological Seminary, 04.F Western Documents",manuscript containing Designation of procurator,DS324,General Theological Seminary,04.F Western Documents
http://www.wikidata.org/entity/Q131767462,"New York, New York, General Theological Seminary, 01 Western",manuscript containing De tribus diebus; Incipit liber magistri hugonis de operibus trium dierum,DS325,General Theological Seminary,01 Western
http://www.wikidata.org/entity/Q131767447,"New York, New York, General Theological Seminary, 09 Western","manuscript containing Bible, N. T., Mark",DS326,General Theological Seminary,09 Western
http://www.wikidata.org/entity/Q131767463,"New York, New York, General Theological Seminary, 19 Western",manuscript containing Mémoires sur les choses qui se sont pass?es en France,DS327,General Theological Seminary,19 Western
http://www.wikidata.org/entity/Q131767464,"New York, New York, General Theological Seminary, 03 Western",manuscript containing Epistles,DS328,General Theological Seminary,03 Western
http://www.wikidata.org/entity/Q131767465,"New York, New York, General Theological Seminary, 05 Western",manuscript containing Rule; Breviary; Incipit exposicio regule beati Augustini episcopi secundum fratrem humbertum Magistrum ordinis predicatorum,DS329,General Theological Seminary,05 Western
http://www.wikidata.org/entity/Q131767448,"New York, New York, General Theological Seminary, 08 Western",manuscript containing Breviary,DS330,General Theological Seminary,08 Western
http://www.wikidata.org/entity/Q131767449,"New York, New York, General Theological Seminary, 07 Western",manuscript containing Antiphonal,DS331,General Theological Seminary,07 Western
http://www.wikidata.org/entity/Q131767466,"New York, New York, General Theological Seminary, 06 Western","manuscript containing Bible, O.T.; #tNürnbergishe Chronic von Erbauing der Städt bis 1561#; #tVon dem Bischoff von Wurtzburg von einer schlechter dach#",DS332,General Theological Seminary,06 Western
